Name,Platform,Format,Now Playing,Ownership Status,Progress Status
10000000,PC / Windows,Digital (Steam),No,Owned,Retired
1001 Spikes,PC / Windows,Digital (Steam),No,Owned,Incomplete
140,PC / Windows,Digital (Steam),No,Owned,Completionated
A Boy and His Blob,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
A Valley Without Wind,PC / Windows,Digital (Steam),No,Owned,Never Playing
A Valley Without Wind 2,PC / Windows,Digital (Steam),No,Owned,Never Playing
A Virus Named Tom,PC / Windows,Digital (Steam),No,Owned,Retired
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,PC / Windows,Digital (Steam),No,Owned,Never Playing
Absolute Drift,PC / Windows,Digital (Steam),No,Owned,Finished
Abzu,PC / Windows,Digital (Steam),No,Owned,Finished
Agatha Christie: The ABC Murders,PC / Windows,Digital (Steam),No,Owned,Incomplete
Age of Wonders,PC / Windows,Digital (GOG),No,Owned,Incomplete
AI War: Fleet Command,PC / Windows,Digital (Steam),No,Owned,Incomplete
Always Sometimes Monsters,PC / Windows,Digital (Steam),No,Owned,Never Playing
Amnesia: The Dark Descent,PC / Windows,Digital (Steam),No,Owned,Incomplete
And Yet It Moves,PC / Windows,Digital (Steam),No,Owned,Incomplete
Anodyne,PC / Windows,Digital (Steam),No,Owned,Never Playing
Anomaly 2,PC / Windows,Digital (Steam),No,Owned,Never Playing
Anomaly: Warzone Earth,PC / Windows,Digital (Steam),No,Owned,Never Playing
Antichamber,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Aquaria,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Assault Android Cactus,PC / Windows,Digital (Steam),No,Owned,Never Playing
Avadon 2: The Corruption,PC / Windows,Digital (GOG),No,Owned,Incomplete
Avadon: The Black Fortress,PC / Windows,Digital (Steam),No,Owned,Completionated
Avernum,PC / Windows,Digital (GOG),No,Owned,Incomplete
Avernum 2,PC / Windows,Digital (GOG),No,Owned,Incomplete
Avernum 3,PC / Windows,Digital (GOG),No,Owned,Incomplete
Avernum 4,PC / Windows,Digital (GOG),No,Owned,Incomplete
Avernum 5,PC / Windows,Digital (GOG),No,Owned,Incomplete
Avernum 6,PC / Windows,Digital (GOG),No,Owned,Incomplete
Avernum: Escape from the Pit,PC / Windows,Digital (Steam),No,Owned,Incomplete
Awesomenauts,PC / Windows,Digital (Steam),No,Owned,Never Playing
Back to the Future: The Game - Episode 1: It's About Time,PC / Windows,Digital (Steam),No,Owned,Incomplete
Back to the Future: The Game - Episode 2: Get Tannen!,PC / Windows,Digital (Steam),No,Owned,Incomplete
Back to the Future: The Game - Episode 3: Citizen Brown,PC / Windows,Digital (Steam),No,Owned,Incomplete
Back to the Future: The Game - Episode 4: Double Visions,PC / Windows,Digital (Steam),No,Owned,Incomplete
Back to the Future: The Game - Episode 5: Outatime,PC / Windows,Digital (Steam),No,Owned,Incomplete
Bad Hotel,PC / Windows,Digital (Steam),No,Owned,Never Playing
Ballpoint Universe: Infinite,PC / Windows,Digital (Steam),No,Owned,Never Playing
Bastion,PC / Windows,Digital (Steam),No,Owned,Completionated
Batman: Arkham Asylum - Game of the Year Edition,PC / Windows,Digital (Steam),No,Owned,Finished
Batman: Arkham City - Game of the Year Edition,PC / Windows,Digital (Steam),No,Owned,Finished
Batman: Arkham Knight,PC / Windows,Digital (Steam),No,Owned,Finished
Batman: Arkham Origins,PC / Windows,Digital (Steam),No,Owned,Finished
Battle Realms,PC / Windows,Digital (GOG),No,Owned,Incomplete
Battle Realms: Winter of the Wolf,PC / Windows,Digital (GOG),No,Owned,Incomplete
Battlestation: Harbinger,PC / Windows,Digital (Steam),No,Owned,Incomplete
Beat Hazard,PC / Windows,Digital (Steam),No,Owned,Never Playing
Beatbuddy: Tale of the Guardians,PC / Windows,Digital (Steam),No,Owned,Incomplete
Beneath a Steel Sky,PC / Windows,Digital (GOG),No,Owned,Incomplete
Besiege,PC / Windows,Digital (Steam),No,Owned,Never Playing
Big Pharma,PC / Windows,Digital (Steam),No,Owned,Incomplete
Bionic Dues,PC / Windows,Digital (Steam),No,Owned,Incomplete
BioShock Infinite,PC / Windows,Digital (Steam),No,Owned,Finished
Bit Blaster XL,PC / Windows,Digital (Steam),No,Owned,Never Playing
Bit.Trip Beat,PC / Windows,Digital (Steam),No,Owned,Never Playing
Bit.Trip Core,PC / Windows,Digital (Steam),No,Owned,Never Playing
Bit.Trip Fate,PC / Windows,Digital (Steam),No,Owned,Never Playing
Bit.Trip Presents Runner 2: Future Legend of Rhythm Alien,PC / Windows,Digital (Steam),No,Owned,Never Playing
Bit.Trip Runner,PC / Windows,Digital (Steam),No,Owned,Finished
Blades of Avernum,PC / Windows,Digital (GOG),No,Owned,Never Playing
Bleed,PC / Windows,Digital (Steam),No,Owned,Retired
Blocks That Matter,PC / Windows,Digital (Steam),No,Owned,Never Playing
Borderlands 2,PC / Windows,Digital (Steam),No,Owned,Completionated
Braid,PC / Windows,Digital (Steam),No,Owned,Completionated
Brawlhalla,PC / Windows,Digital (Steam),No,Owned,Retired
Bridge Constructor,PC / Windows,Digital (Steam),No,Owned,Retired
Broforce,PC / Windows,Digital (Steam),No,Owned,Incomplete
Broken Age,PC / Windows,Digital (Steam),No,Owned,Finished
Broken Sword: The Shadow of the Templars - Director's Cut,PC / Windows,Digital (Steam),No,Owned,Incomplete
Brothers: A Tale of Two Sons,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Brutal Legend,PC / Windows,Digital (Steam),No,Owned,Finished
Burnout Paradise: The Ultimate Box,PC / Windows,Digital (Steam),No,Owned,Completionated
Capsized,PC / Windows,Digital (Steam),No,Owned,Incomplete
Card City Nights,PC / Windows,Digital (GOG),No,Owned,Retired
Cave Story+,PC / Windows,Digital (Steam),No,Owned,Finished
Chaos Reborn,PC / Windows,Digital (Steam),No,Owned,Incomplete
Chivalry: Medieval Warfare,PC / Windows,Digital (Steam),No,Owned,Never Playing
Choice of Robots,PC / Windows,Digital (Steam),No,Owned,Incomplete
Chroma Squad,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Cinders,PC / Windows,Digital (Steam),No,Owned,Incomplete
Circuits,PC / Windows,Digital (Steam),No,Owned,Never Playing
Cogs,PC / Windows,Digital (Steam),No,Owned,Finished
Conquest of Elysium 3,PC / Windows,Digital (Steam),No,Owned,Incomplete
Contraption Maker,PC / Windows,Digital (Steam),No,Owned,Incomplete
"Cook, Serve, Delicious!",PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Cortex Command,PC / Windows,Digital (Steam),No,Owned,Never Playing
Cosmic DJ,PC / Windows,Digital (Steam),No,Owned,Completionated
Costume Quest,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Craft the World,PC / Windows,Digital (Steam),No,Owned,Finished
Crayon Physics Deluxe,PC / Windows,Digital (Steam),No,Owned,Incomplete
